Question,1,2,3,4,5,N
A Tale of Two Cities Audiobook (Audio book),0,0,4,1,51,56
DOPE AS USUAL,0,0,0,2,48,50
Doctor Mom Podcast,0,0,0,0,50,50
See, The Thing Is...,19,8,15,12,158,212
So Look Bro Podcast,1,1,0,2,162,166
The Bigger Picture By Lil Baby,0,0,0,1,1,2
The Dirt Trailrunning Podcast,0,0,0,2,22,24
The Scarlet Letter Audiobook (Audio book),5,0,2,8,21,36
There I was... An Aviation Podcast,0,0,1,1,12,14
They're not dolls!,3,0,0,0,11,14
Walking The Floor with Chris Shiflett,4,1,1,4,40,50
